,ProductID,smiles,standardized_smiles,mol,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,HeavyAtomCount,FractionCSP3,FormalCharge
61,222,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x1254cda80>,1355.3879999999992,3.409210000000012,9,20,488.71000000000004,26,8,93,0.6190476190476191,0
62,230,CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,<rdkit.Chem.rdchem.Mol object at 0x1254cdaf0>,524.8740000000004,11.542499999999986,0,2,26.3,20,1,38,0.6944444444444444,0
63,241,CCN(C1=CC=CC=C1C)C(=O)/C=C/C,CC=CC(=O)N(CC)c1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x1254cdf50>,203.28499999999997,2.9240200000000014,0,1,20.310000000000002,3,1,15,0.3076923076923077,0
64,244,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x1254cdb60>,398.40000000000015,3.701600000000002,3,7,141.31,6,3,28,0.0,0
65,245,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x1254cdbd0>,398.40000000000015,3.701600000000002,3,7,141.31,6,3,28,0.0,0
66,251,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCNC(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cdc40>,271.792,1.7622,2,3,58.36,6,1,18,0.46153846153846156,0
67,252,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCNC(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cdcb0>,271.792,1.7622,2,3,58.36,6,1,18,0.46153846153846156,0
68,253,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCNC(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cdd20>,271.792,1.7622,2,3,58.36,6,1,18,0.46153846153846156,0
69,254,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCNC(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cdd90>,271.792,1.7622,2,3,58.36,6,1,18,0.46153846153846156,0
70,255,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCNC(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cde00>,271.792,1.7622,2,3,58.36,6,1,18,0.46153846153846156,0
71,260,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x1254cde70>,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,13,0.1111111111111111,0
72,260,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.Cl,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,<rdkit.Chem.rdchem.Mol object at 0x1254ce7a0>,351.83,1.4699999999999998,1,5,59.0,1,5,24,0.6111111111111112,0
73,263,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x1254cdee0>,345.9550000000001,4.824000000000006,0,3,29.54,7,2,23,0.9473684210526315,0
74,264,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x1254cdfc0>,345.9550000000001,4.824000000000006,0,3,29.54,7,2,23,0.9473684210526315,0
